JSC: disabling useWasm under GIL-off (wasm glue still reads the raw VM-block exception word; not yet audited for UNGIL §A.1.3 COMPILED-FOR-VM; see AB-17 status block in VMEntryScope.cpp).
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc00bb4088 absent from gathered conservative roots (isLive = true, ownerThread = 0x7224000017a0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc00b98088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f469b865088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f469b935088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c400820088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c4007f8088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001cb0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc00b60088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001cb0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f469b899088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001cb0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): 8 ring cell(s) absent from this gather's conservative root set (8 logged, cap 32; gathered root count = 254).
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c40030c088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc003f0088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f469c0f5088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c400208088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc00284088 absent from gathered conservative roots (isLive = true, ownerThread = 0x7224000017a0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f469bd41088 absent from gathered conservative roots (isLive = true, ownerThread = 0x7224000017a0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c40021c088 absent from gathered conservative roots (isLive = true, ownerThread = 0x7224000017a0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
