JSC: disabling useWasm under GIL-off (wasm glue still reads the raw VM-block exception word; not yet audited for UNGIL §A.1.3 COMPILED-FOR-VM; see AB-17 status block in VMEntryScope.cpp).
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c400384088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc004b4088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f7ecd87d088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c400348088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001950, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc0047c088 absent from gathered conservative roots (isLive = true, ownerThread = 0x7224000017a0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f7ecd849088 absent from gathered conservative roots (isLive = true, ownerThread = 0x7224000017a0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c40035c088 absent from gathered conservative roots (isLive = true, ownerThread = 0x7224000017a0, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc00498088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x7f7ecd815088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72c4003ac088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
SharedHeapTestHarness audit (fix-shared-heap-ring-liveness-5): ring-held PRECISE cell 0x72cc004ec088 absent from gathered conservative roots (isLive = true, ownerThread = 0x722400001b90, ownerRegisteredInMachineThreads = true, ringWithinOwnerStackBounds = true)
